Facility name,Username,Channel id,Channel name,Content id,Content title,Time of first interaction,Time of last interaction,Time of completion,Time Spent (sec),Progress (0-1),Content kind
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,830e6b0614b244138588913a843bab2b,Introdução às Origens da História,2022-04-03 15:34:22.219675+00:00,2022-04-03 15:34:22.219675+00:00,,0.0,0.0000,document
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,245f71f078374a269825fb610e99eab8,Tempo e História - Quiz,2022-04-03 15:38:13.169702+00:00,2022-04-03 15:38:26.726894+00:00,,10.0,0.0000,exercise
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,f61a043d0c144d9bb853312e263e5697,Introdução à Geopolítica,2022-04-03 19:34:28.582973+00:00,2022-04-03 19:35:04.375267+00:00,,5.0,0.1670,document
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,2579537cb62f4382bb1703c8c603f976,Introdução à Água na Terra,2022-04-03 19:35:06.033558+00:00,2022-04-03 19:35:19.960055+00:00,,11.8,0.8350,document
Associação PiPA,RubensJrCosta,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,a972dc7a9cce4c1b89c65ca7d3d03366,Introdução à Máteria,2022-04-03 19:38:16.573528+00:00,2022-04-04 06:17:38.185059+00:00,,3.4,0.0000,document
Associação PiPA,IsabellaAP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,39dd8386566046b6bed0cb9057f2278a,1° Desafio: Aula Teste de Geometria,2022-04-04 21:15:39.534871+00:00,2022-04-04 21:17:26.214709+00:00,,72.5,0.1850,video
Associação PiPA,IsabellaAP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,02fc0d102d2848ff82310e998b60b146,Plano de Aula,2022-04-04 21:19:09.518089+00:00,2022-04-04 21:19:43.051758+00:00,,30.0,1.0000,document
Associação PiPA,IsabellaAP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,b191c97bb9174720b965459b7994d6c9,Lista de Exercícios de Geometria,2022-04-04 21:19:45.123100+00:00,2022-04-04 21:20:12.495406+00:00,,25.0,0.0000,exercise
Associação PiPA,IsabellaAP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,3cad2766fd824f1d860bb6ec649fc002,Plano de curso sustentabilidade,2022-04-04 21:28:18.944294+00:00,2022-04-04 21:28:32.685047+00:00,,10.0,1.0000,document
Associação PiPA,IsabellaAP22,1363070faf91429b88db843795c434ae,Treinamento - Produções das aulas,3cad2766fd824f1d860bb6ec649fc002,Plano de curso sustentabilidade,2022-04-04 21:30:06.097609+00:00,2022-04-04 21:30:25.003313+00:00,,15.0,0.0000,document
